pipeline_id,run_id,timestamp,ci_tool,repository,branch,commit_hash,author,language,os,cloud_provider,build_duration_sec,test_duration_sec,deploy_duration_sec,failure_stage,failure_type,error_code,error_message,severity,cpu_usage_pct,memory_usage_mb,retry_count,is_flaky_test,rollback_triggered,incident_created,result,commit_size,files_changed,warnings,tests_failed,previous_failure_rate
gha-billing-api-release,118001044006-1,2026-05-27T02:24:00,GitHub Actions,finance/billing-api,hotfix/urgent-rollout,528a19b1a840c08860e02cdd588f1a7968f1a511,carlos_dev,NodeJS,ubuntu-latest,Azure,150,729,1087,build,Permission Error,SECRET_NOT_FOUND,Run build job on ubuntu-latest | ##[group]refs/heads/hotfix/urgent-rollout | kubectl apply -f k8s/deployment.yaml -n ml-staging | Error from server (Forbidden): serviceaccount ci-deployer cannot patch deployments.apps in namespace ml-staging | Error: Process completed with exit code 1,CRITICAL,49.13,8511,1,FALSE,FALSE,FALSE,FAIL,41,42,6,0,0.263
circleci-customer-profile-api-ci,b81a60cb-6aad-5330-a9bd-41d7e283ee77,2025-11-13T08:18:00,CircleCI,core/customer-profile-api,renovate/python-requests-2.x,ee20c73893f01b27341ab1b40c9be1fed1554345,sara_platform,NodeJS,macos-latest,GCP,458,281,418,None,None,None,CircleCI step ci | working_directory=~/project/customer-profile-api | 2025-11-13 08:18:00 checkout ee20c738 | dependencies restored from cache | build and tests completed successfully,None,58.14,1086,1,FALSE,FALSE,FALSE,PASS,4,3,4,0,0.048
ado-terraform-infra-ci,20260623.25,2025-10-14T07:53:00,Azure DevOps,infra/terraform-infra,main,3ffeb0b3bafef87c2a5272d831c544a15b7daa37,github-actions[bot],Go,ubuntu-latest,Azure,716,141,439,None,None,None,##[section]Starting: build | Agent job on Azure Pipelines | artifact terraform-infra:3ffeb0b3 published | all required checks passed | warning: 2 non-blocking linter warnings recorded,None,42.26,3129,0,FALSE,FALSE,FALSE,PASS,28,8,2,0,0.172
gitlab-payment-gateway-service-release,pipeline/1008879/job/2383529,2026-05-21T18:36:00,GitLab CI,payments/payment-gateway-service,ci/cd-proyecto,cbfbb42b85786d840d6cefe30f56de59bec1468f,qa_automation,NodeJS,windows-latest,On-Prem,935,510,522,test,Dependency Error,NPM_ETARGET,Running with gitlab-runner 17.x | stage=test | $ make test | cargo fetch | failed to select a version for `reqwest` required by package payment-gateway-service | ERROR: Job failed: exit code 1,MEDIUM,74.57,15185,3,FALSE,FALSE,FALSE,FAIL,69,5,3,0,0.702
circleci-auth-service-build-test-deploy,1d390a17-dda4-5be3-87f7-05751b80738e,2026-06-07T08:46:00,CircleCI,security/auth-service,release/2026.06,d9d98007ebb872875f90ac541b8437e377478c84,github-actions[bot],Rust,ubuntu-latest,On-Prem,1103,557,0,test,Test Failure,PYTEST_ASSERTION,"CircleCI step test | working_directory=~/project/auth-service | npm test -- --runInBand | FAIL src/payments/controller.spec.ts | Expected mock function to have been called once, received 0 calls",MEDIUM,55.55,18895,0,FALSE,FALSE,FALSE,FAIL,38,2,10,2,0.644
circleci-notification-service-security-scan,0b426db6-47c9-5777-b286-dd2c51a1019a,2025-10-23T07:48:00,CircleCI,messaging/notification-service,dependabot/npm_and_yarn/lodash-4.17.21,15323946993f13024b4b310e67e7d8b408b869cb,release_manager,Java,windows-latest,Azure,157,348,85,None,None,None,CircleCI step deploy | working_directory=~/project/notification-service | health check passed for https://notification-service.prod.internal.example.com/healthz | deployment marked successful,None,39.18,1133,0,FALSE,FALSE,FALSE,PASS,26,4,0,0,0.262
gitlab-risk-scoring-service-ci,pipeline/883471/job/2107639,2025-10-07T09:08:00,GitLab CI,risk/risk-scoring-service,develop,25278b37d0077e805cbca40da785dfc02b3240ac,devops-bot,Java,macos-latest,Azure,283,167,115,None,None,None,Running with gitlab-runner 17.x | stage=security-scan | $ make security-scan | dependency audit completed with no blocking vulnerabilities | status=success | warning: 1 non-blocking linter warnings recorded,None,43.49,3846,1,FALSE,FALSE,FALSE,PASS,15,13,1,0,0.125
circleci-auth-service-deploy-staging,e47423d9-c079-5635-8a09-2efb496cbf87,2026-05-21T14:11:00,CircleCI,security/auth-service,ci/cd-proyecto,3afcf35211f82351568a5e960b0af05e9ff583d8,data_pipeline_bot,C++,self-hosted-linux,On-Prem,1729,718,560,deploy,Deployment Failure,ROLLBACK_REQUIRED,CircleCI step deploy | working_directory=~/project/auth-service | helm upgrade --install auth-service charts/app -n prod | Error: UPGRADE FAILED: cannot patch Deployment: spec.template.spec.containers[0].image: Invalid value gcr.io/internal-platform/auth-service:3afcf352 | Exited with code 1,CRITICAL,85.88,19670,2,FALSE,TRUE,FALSE,FAIL,60,31,2,0,0.512
ado-auth-service-pr-validation,20260619.29,2026-06-10T08:50:00,Azure DevOps,security/auth-service,develop,96cadfce3dc736e04d95d9f717b1bd0c12fba9c4,dependabot[bot],C++,macos-latest,Azure,1458,190,0,build,Build Failure,MAVEN_COMPILATION_FAILURE,##[section]Starting: build | Agent job on Azure Pipelines | cargo build --release | error[E0432]: unresolved import crate::feature_flags at C:\agent\_work\1\s\src\features\service.cpp:213:76,MEDIUM,60.33,7794,2,FALSE,FALSE,FALSE,FAIL,33,7,14,0,0.812
ado-terraform-infra-pr-validation,20260628.29,2026-05-27T03:35:00,Azure DevOps,infra/terraform-infra,bugfix/payment-webhook,e07ea7af468e2dba6a6e2b1277967d79492e0e45,junior_juan,Go,macos-latest,On-Prem,649,128,709,build,Dependency Error,GO_SUM_MISMATCH,##[section]Starting: build | Agent job on Azure Pipelines | pip install -r requirements.txt | ERROR: Cannot install fastapi==0.110.0 and pydantic==1.10.2 because these package versions have conflicting dependencies | ##[error]Bash exited with code 1,MEDIUM,73.18,16118,0,FALSE,FALSE,FALSE,FAIL,30,13,4,0,0.397
gha-web-portal-build-test-deploy,118000031026-2,2025-10-08T17:02:00,GitHub Actions,web/web-portal,feature/auth-jwt,6a7e8f0622d9cb1ade80c1a4a808b7fa97f6bf6d,nimal_backend,Rust,windows-latest,Azure,191,242,345,None,None,None,Run build job on ubuntu-latest | ##[group]refs/heads/feature/auth-jwt | artifact web-portal:6a7e8f06 published | all required checks passed | warning: 1 non-blocking linter warnings recorded,None,37.01,3257,1,FALSE,FALSE,FALSE,PASS,31,3,1,0,0.217
gitlab-e2e-test-suite-build-test-deploy,pipeline/990643/job/2343419,2026-04-18T20:51:00,GitLab CI,qa/e2e-test-suite,dependabot/npm_and_yarn/lodash-4.17.21,39b690f63b27a0b4716a316ddd5c256921669915,github-actions[bot],Go,ubuntu-latest,AWS,682,483,977,build,Dependency Error,GO_SUM_MISMATCH,Running with gitlab-runner 17.x | stage=build | $ make build | mvn dependency:resolve | Could not find artifact com.company:features-client:jar:2.7.14 in internal-nexus (https://nexus.internal.example.com/repository/maven-public),MEDIUM,81.13,8635,0,FALSE,FALSE,FALSE,FAIL,44,2,8,0,0.605
jenkins-payment-gateway-service-pr-validation,payment-gateway-service/release#25603,2026-05-12T03:40:00,Jenkins,payments/payment-gateway-service,release/2026.06,02df7bc7831f2861362140770a7f09305681aefa,release_manager,Java,windows-latest,AWS,707,1426,772,test,Network Error,DNS_EAI_AGAIN,[Pipeline] stage(test) | [Pipeline] sh | apt-get update | Temporary failure resolving archive.ubuntu.com; runner network check failed,MEDIUM,59.39,16280,4,FALSE,FALSE,FALSE,FAIL,20,37,11,0,0.599
gitlab-search-api-release,pipeline/1013494/job/2393684,2026-05-30T00:47:00,GitLab CI,search/search-api,main,f8c9993719664d5437b5901ac32aad19561ea1ce,github-actions[bot],NodeJS,windows-latest,GCP,1179,441,1690,deploy,Deployment Failure,HELM_UPGRADE_FAILED,Running with gitlab-runner 17.x | stage=deploy | $ make deploy | health check failed after deploy: GET https://search-api.dev.internal.example.com/healthz returned 503 from 10.184.240.51:7601; rollback requested | ERROR: Job failed: exit code 1,HIGH,76.32,16319,2,FALSE,TRUE,FALSE,FAIL,29,18,5,0,0.203
gha-order-fulfillment-service-security-scan,118000939700-3,2026-05-18T07:46:00,GitHub Actions,commerce/order-fulfillment-service,bugfix/flaky-login-test,c4d020af7f71a1f44fb1c7d7eb58f7a2f62043c4,sara_platform,Rust,ubuntu-latest,AWS,940,457,794,build,Dependency Error,MAVEN_DEPENDENCY_RESOLUTION,Run build job on ubuntu-latest | ##[group]refs/heads/bugfix/flaky-login-test | mvn dependency:resolve | Could not find artifact com.company:auth-client:jar:2.7.14 in internal-nexus (https://nexus.internal.example.com/repository/maven-public) | Error: Process completed with exit code 1,MEDIUM,74.03,7204,1,FALSE,FALSE,FALSE,FAIL,91,17,4,0,0.239
circleci-push-notification-worker-ci,f0f37acd-7ac1-5a57-a6b1-4e1dd4c476bb,2025-11-04T00:46:00,CircleCI,mobile/push-notification-worker,develop,f07f53a2ab55deeed80c7c8329ea24aac9cad6f5,nimal_backend,C++,self-hosted-linux,Azure,47,153,183,None,None,None,CircleCI step build | working_directory=~/project/push-notification-worker | artifact push-notification-worker:f07f53a2 published | all required checks passed | warning: 1 non-blocking linter warnings recorded,None,53.15,1638,1,FALSE,FALSE,FALSE,PASS,22,4,1,0,0.108
circleci-inventory-sync-worker-ci,31454cce-1f6b-57f9-9987-2ce19ba93b5d,2025-12-29T03:08:00,CircleCI,ops/inventory-sync-worker,release/2026.06,fe95991196a42d09554efeb3ab674b4e7b535e26,platform_admin,Python,windows-latest,AWS,288,529,343,None,None,None,CircleCI step build | working_directory=~/project/inventory-sync-worker | artifact inventory-sync-worker:fe959911 published | all required checks passed | warning: 3 non-blocking linter warnings recorded,None,24,3639,0,FALSE,FALSE,FALSE,PASS,10,6,3,0,0.137
circleci-internal-api-gateway-security-scan,1126372d-ae1e-5a4a-b0d6-999a9fed5321,2026-05-27T04:11:00,CircleCI,platform/internal-api-gateway,feature/order-events,50c8d6fe60f4d781b4cd364fa4e8a5a8fc58ca0f,release_manager,Go,macos-latest,AWS,543,97,70,deploy,Permission Error,DOCKER_LOGIN_DENIED,CircleCI step deploy | working_directory=~/project/internal-api-gateway | aws ecr get-login-password | An error occurred (AccessDeniedException): User arn:aws:sts::123456789012:assumed-role/github-actions is not authorized to perform ecr:GetAuthorizationToken | Exited with code 1,HIGH,50.29,4220,0,FALSE,FALSE,FALSE,FAIL,51,16,2,0,0.808
ado-user-session-service-nightly-regression,20260628.21,2026-04-04T02:35:00,Azure DevOps,platform/user-session-service,renovate/python-requests-2.x,f23f874a42ac51d0e1dc13ba8379e1821cfaf311,data_pipeline_bot,Java,self-hosted-linux,Azure,3552,1217,816,deploy,Timeout,DOCKER_PULL_TIMEOUT,##[section]Starting: deploy | Agent job on Azure Pipelines | npm ci | command timed out after 600000ms during postinstall script for pytest | ##[error]Bash exited with code 1,HIGH,36.99,15110,3,FALSE,FALSE,FALSE,FAIL,77,33,3,0,0.645
gha-kafka-stream-processor-ci,118000133866-1,2025-11-02T19:17:00,GitHub Actions,data/kafka-stream-processor,bugfix/flaky-login-test,2899bfa8088ae328216c38dcac8b68c465c5f0f6,security_scan_bot,NodeJS,windows-latest,On-Prem,347,430,190,None,None,None,Run ci job on ubuntu-latest | ##[group]refs/heads/bugfix/flaky-login-test | 2025-11-02 19:17:00 checkout 2899bfa8 | dependencies restored from cache | build and tests completed successfully,None,50.84,790,1,FALSE,FALSE,FALSE,PASS,13,8,2,0,0.129
jenkins-kafka-stream-processor-deploy-staging,kafka-stream-processor/feature-model-registry#2522,2025-10-15T19:14:00,Jenkins,data/kafka-stream-processor,feature/model-registry,236a235e68f44198ea60e6c8feac172814f1da7e,renovate[bot],Rust,ubuntu-latest,GCP,787,310,208,None,None,None,[Pipeline] stage(security-scan) | [Pipeline] sh | dependency audit completed with no blocking vulnerabilities | status=success,None,27.26,4889,0,FALSE,FALSE,FALSE,PASS,32,3,3,0,0.01
jenkins-user-session-service-ci,user-session-service/feature-x#26843,2026-05-23T08:48:00,Jenkins,platform/user-session-service,feature/order-events,2688f416a05fc833b86676902525695e2c34ad1d,renovate[bot],Go,windows-latest,GCP,1710,146,180,deploy,Configuration Error,YAML_PARSE_ERROR,"[Pipeline] stage(deploy) | [Pipeline] sh | actionlint .github/workflows/deploypilot-ci.yml | .github/workflows/deploypilot-ci.yml:144:15: unexpected key ""runs_on""; did you mean ""runs-on""? | script returned exit code 1",HIGH,93.3,1639,1,FALSE,FALSE,FALSE,FAIL,32,8,8,0,0.742
jenkins-risk-scoring-service-ci,risk-scoring-service/feature-auth-jwt#5521,2025-11-11T19:11:00,Jenkins,risk/risk-scoring-service,feature/auth-jwt,386ab872fb26802145cace9c84dda46d223ef26d,github-actions[bot],Go,macos-latest,GCP,482,367,14,None,None,None,[Pipeline] stage(security-scan) | [Pipeline] sh | dependency audit completed with no blocking vulnerabilities | status=success | warning: 1 non-blocking linter warnings recorded,None,48.27,4552,1,FALSE,FALSE,FALSE,PASS,27,9,1,0,0.31
gha-e2e-test-suite-security-scan,118000124766-2,2025-10-31T13:32:00,GitHub Actions,qa/e2e-test-suite,hotfix/urgent-rollout,77a716cd5f384ffbdcbf411976c55119c34c54cb,security_scan_bot,Python,macos-latest,GCP,91,533,200,None,None,None,Run test job on ubuntu-latest | ##[group]refs/heads/hotfix/urgent-rollout | Python unit and integration tests passed | coverage report uploaded | no deployment rollback required,None,25.41,3100,0,FALSE,FALSE,FALSE,PASS,8,2,1,0,0.292
jenkins-analytics-etl-security-scan,analytics-etl/release-2026-07#26386,2026-05-19T05:28:00,Jenkins,data/analytics-etl,release/2026.07,0abbe4e4f0a20680bb5237224660927c24bf7473,qa_automation,NodeJS,windows-latest,AWS,1315,672,152,build,Timeout,WAIT_FOR_SERVICE_TIMEOUT,[Pipeline] stage(build) | [Pipeline] sh | kubectl rollout status deployment/analytics-etl -n staging --timeout=300s | timed out waiting for the condition,HIGH,65.25,23597,3,FALSE,FALSE,TRUE,FAIL,42,7,10,0,0.914
gitlab-risk-scoring-service-build-test-deploy,pipeline/906891/job/2159169,2025-11-18T15:52:00,GitLab CI,risk/risk-scoring-service,feature/auth-jwt,f0c1a52e9707340db4d549c2d24696c9932bfa97,release_manager,Go,ubuntu-latest,On-Prem,612,486,292,None,None,None,Running with gitlab-runner 17.x | stage=security-scan | $ make security-scan | dependency audit completed with no blocking vulnerabilities | status=success,None,50.1,5727,0,FALSE,FALSE,FALSE,PASS,24,2,3,0,0.307
gitlab-web-portal-release,pipeline/1024904/job/2418796,2026-04-12T15:48:00,GitLab CI,web/web-portal,main,7907dfd5c27ceb72702e48fc88e474479ec0cbff,qa_automation,Python,macos-latest,AWS,166,323,176,test,Test Failure,NPM_TEST_FAILED,"Running with gitlab-runner 17.x | stage=test | $ make test | npm test -- --runInBand | FAIL src/models/service.spec.ts | Expected mock function to have been called once, received 0 calls | ERROR: Job failed: exit code 1",HIGH,34.83,1575,1,FALSE,FALSE,FALSE,FAIL,17,1,0,1,0.045
ado-billing-api-security-scan,20260617.15,2025-10-05T21:53:00,Azure DevOps,finance/billing-api,hotfix/urgente,6efd8c205bf7397d67dc8345520577d174dbe424,maria_sre,Rust,windows-latest,Azure,234,334,247,None,None,None,##[section]Starting: deploy | Agent job on Azure Pipelines | health check passed for https://billing-api.dev.internal.example.com/healthz | deployment marked successful,None,21.83,4288,0,FALSE,FALSE,FALSE,PASS,4,6,0,0,0.268
circleci-ci-templates-deploy-staging,09bf43fb-9edc-546c-b794-61ccee38d50f,2026-05-20T13:51:00,CircleCI,devops/ci-templates,feature/model-registry,43cacd00541d643b55b0dab8099f2755859d2237,dependabot[bot],Go,self-hosted-linux,Azure,386,889,1040,deploy,Deployment Failure,HEALTHCHECK_FAILED,CircleCI step deploy | working_directory=~/project/ci-templates | kubectl describe pod | Warning FailedScheduling: 0/6 nodes are available: insufficient memory | namespace=prod | Exited with code 1,HIGH,62.64,12742,1,FALSE,FALSE,FALSE,FAIL,58,39,12,0,0.368
jenkins-web-portal-build-test-deploy,web-portal/ci-cd-proyecto#4594,2025-11-03T12:10:00,Jenkins,web/web-portal,ci/cd-proyecto,b03c2caf70bc659e2d5232ff2d7cefe2515ef10f,carlos_dev,Java,ubuntu-latest,GCP,327,80,8,None,None,None,[Pipeline] stage(build) | [Pipeline] sh | artifact web-portal:b03c2caf published | all required checks passed,None,63.37,1926,0,TRUE,FALSE,FALSE,PASS,3,3,0,0,0.174
ado-terraform-infra-build-test-deploy,20260606.21,2025-10-10T20:33:00,Azure DevOps,infra/terraform-infra,dependabot/npm_and_yarn/lodash-4.17.21,90019ac8e8cd01e81e0874abbd02e0bb5d68d5c7,isuru_devops,Java,ubuntu-latest,None,375,201,487,None,None,None,##[section]Starting: security-scan | Agent job on Azure Pipelines | dependency audit completed with no blocking vulnerabilities | status=success,None,16.45,1985,1,FALSE,FALSE,FALSE,PASS,9,4,4,0,0.096
jenkins-rag-qa-service-nightly-regression,rag-qa-service/feature-model-registry#8926,2025-12-12T11:57:00,Jenkins,platform-team/rag-qa-service,feature/model-registry,fad25fba6267dce03be6e43b34eb283b5be129d5,nimal_backend,Go,ubuntu-latest,Azure,46,554,0,None,None,None,[Pipeline] stage(security-scan) | [Pipeline] sh | dependency audit completed with no blocking vulnerabilities | status=success | warning: 2 non-blocking linter warnings recorded,None,43.24,5097,1,FALSE,FALSE,FALSE,PASS,15,9,2,0,0.124
circleci-payment-gateway-service-deploy-staging,a109f782-0387-58cc-97a4-0b9783569203,2026-06-02T01:31:00,CircleCI,payments/payment-gateway-service,feature/auth-jwt,094ac8a7b4016193849c44d6ed8ade7dd9df5a67,dependabot[bot],Python,ubuntu-latest,GCP,685,232,46,deploy,Configuration Error,PydanticValidationError,"CircleCI step deploy | working_directory=~/project/payment-gateway-service | terraform plan | Error: Missing required variable ""container_image""; set TF_VAR_container_image before deployment | Exited with code 1",MEDIUM,88,22956,3,FALSE,FALSE,FALSE,FAIL,14,4,3,0,0.901
gitlab-mobile-backend-nightly-regression,pipeline/995660/job/2354461,2026-04-27T20:54:00,GitLab CI,mobile/mobile-backend,feature/model-registry,72245d38c41fd76d0310b82a12b370ec78c5f504,qa_automation,Java,windows-latest,On-Prem,1184,1145,0,test,Test Failure,NPM_TEST_FAILED,Running with gitlab-runner 17.x | stage=test | $ make test | job failed before post-step summary was published; check previous console lines for the first error | run_id=pipeline/995660/job/2354461 | ERROR: Job failed: exit code 1,MEDIUM,65.26,5696,3,TRUE,FALSE,FALSE,FAIL,51,7,6,1,0.624
gha-reporting-dashboard-nightly-regression,118000194995-1,2025-11-17T16:27:00,GitHub Actions,reporting/reporting-dashboard,feature/auth-jwt,da70a8dea1bf6fa9e60fda90af513d6a97a56733,junior_juan,Python,ubuntu-latest,AWS,270,502,215,None,None,None,Run deploy job on ubuntu-latest | ##[group]refs/heads/feature/auth-jwt | health check passed for https://reporting-dashboard.dev.internal.example.com/healthz | deployment marked successful,None,14.55,1398,1,FALSE,FALSE,FALSE,PASS,15,10,3,0,0.116
